amount;journal_date;currencycode;journal_number;company_code;company;gl_account;object
-633,81;01-FEB-23;NOK;101002383;Posten Bring AS;1712;240200;000000
334,84;01-FEB-23;NOK;101002383;Posten Bring AS;1712;420100;000000
53,5;01-FEB-23;NOK;101002383;Posten Bring AS;1712;460100;000000
162,54;01-FEB-23;NOK;101002383;Posten Bring AS;1712;460100;000000
82,93;01-FEB-23;NOK;101002383;Posten Bring AS;1712;460100;000000
-17473,63;01-FEB-23;NOK;101002383;Posten Bring AS;1712;240200;000000
-6380,39;01-FEB-23;NOK;101002383;Posten Bring AS;1712;318100;000000
-459,48;01-FEB-23;NOK;101002383;Posten Bring AS;1712;806000;000000
24313,5;01-FEB-23;NOK;101002383;Posten Bring AS;1712;460100;000000
0;01-FEB-23;NOK;101002383;Posten Bring AS;1712;271000;000000
0;01-FEB-23;NOK;101002383;Posten Bring AS;1712;271000;000000
0;01-FEB-23;NOK;101002383;Posten Bring AS;1712;271000;000000
0;01-FEB-23;NOK;101002383;Posten Bring AS;1712;271000;000000
0;01-FEB-23;NOK;101002383;Posten Bring AS;1712;270000;000000
0;01-FEB-23;NOK;101002383;Posten Bring AS;1712;271000;000000
258;01-FEB-23;NOK;101002384;Posten Bring AS;1712;192000;000000
-126,4;01-FEB-23;NOK;101002384;Posten Bring AS;1712;303000;000000
-100;01-FEB-23;NOK;101002384;Posten Bring AS;1712;157600;000000
340;01-FEB-23;NOK;101002384;Posten Bring AS;1712;192000;000000
-126,4;01-FEB-23;NOK;101002384;Posten Bring AS;1712;303000;000000
-182;01-FEB-23;NOK;101002384;Posten Bring AS;1712;157600;000000
3266;01-FEB-23;NOK;101002384;Posten Bring AS;1712;192000;000000
-126,4;01-FEB-23;NOK;101002384;Posten Bring AS;1712;303000;000000
-3108;01-FEB-23;NOK;101002384;Posten Bring AS;1712;783100;000000
-31,6;01-FEB-23;NOK;101002384;Posten Bring AS;1712;271000;000000
-31,6;01-FEB-23;NOK;101002384;Posten Bring AS;1712;271000;000000
-31,6;01-FEB-23;NOK;101002384;Posten Bring AS;1712;271000;000000
